observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2015-05-31,2015-06-01 00:09:45 UTC,research,36.413332931,-121.1563660141,,,,28534,Masticophis flagellum ruddocki,San Joaquin Coachwhip
2015-05-15,2015-05-16 02:46:13 UTC,research,32.7872766667,-116.4493083333,5,,,5,Psaltriparus minimus,Bushtit
2015-06-06,2015-06-07 00:12:24 UTC,research,34.079932,-118.515151,5,,,5,Sceloporus occidentalis longipes,Great Basin Fence Lizard
2015-06-06,2015-06-07 02:10:33 UTC,research,34.077927,-118.527783,5,,,5,Sceloporus occidentalis longipes,Great Basin Fence Lizard
2015-05-04,2015-05-04 19:16:59 UTC,research,34.1218833333,-118.301255,,,,,Masticophis lateralis lateralis,California Striped Racer
2015-05-03,2015-05-03 16:44:56 UTC,research,34.150901,-118.30923,27,,,27,Crotalus oreganus helleri,Southern Pacific Rattlesnake
2015-06-06,2015-06-06 20:50:29 UTC,research,33.11536,-116.6760666667,5,,,5,Lampropeltis californiae,California King Snake
2015-06-12,,research,34.271634,-118.055684,20,,,20,Masticophis lateralis lateralis,California Striped Racer
2015-06-14,2015-06-15 00:49:56 UTC,research,34.081679,-118.517294,5,,,5,Aspidoscelis tigris stejnegeri,Coastal Whiptail
2015-06-17,2015-06-17 16:01:59 UTC,research,32.7195916667,-116.4053033333,,,,,Aspidoscelis tigris,Western Whiptail
2015-06-04,,research,37.849921,-119.563049,23305,,,23305,Crotalus oreganus,Western Rattlesnake
2015-06-19,2015-06-19 16:49:46 UTC,research,34.1743844785,-118.3854786998,,,,28874,Pituophis catenifer annectens,San Diego Gopher Snake
2015-06-24,2015-06-25 02:38:15 UTC,research,41.158105,-124.122358,339,,,339,Urocyon cinereoargenteus,Gray Fox
2015-06-15,2015-06-15 20:10:00 UTC,research,34.11718,-118.390305,48,,,48,Masticophis lateralis lateralis,California Striped Racer
